Номер варианта;ID;INCOME_BASE_TYPE;CREDIT_PURPOSE;INSURANCE_FLAG;DTI;SEX;FULL_AGE_CHILD_NUMBER;DEPENDANT_NUMBER;EDUCATION;EMPL_TYPE;EMPL_SIZE;BANKACCOUNT_FLAG;Period_at_work;age;EMPL_PROPERTY;EMPL_FORM;FAMILY_STATUS;max90days;max60days;max30days;max21days;max14days;avg_num_delay;if_zalog;num_AccountActive180;num_AccountActive90;num_AccountActive60;Active_to_All_prc;numAccountActiveAll;numAccountClosed;sum_of_paym_months;all_credits;Active_not_cc;own_closed;min_MnthAfterLoan;max_MnthAfterLoan;dlq_exist;thirty_in_a_year;sixty_in_a_year;ninety_in_a_year;thirty_vintage;sixty_vintage;ninety_vintage
2;1143462;2НДФЛ;Ремонт;0;0.23;мужской;2;0;высшее;менеджер среднего звена;>250;0;23;43;Информационные технологии;ООО;повторный брак;2;0;0;0;0;0.0606060606;1;0;0;0;0.4;3;2;186;5;1;2;15;87;1;0;0;0;0;0;0
2;1143482;Поступление зарплаты на счет;Ремонт;0;0.16;мужской;2;0;высшее;менеджер среднего звена;>250;0;121;31;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;1143502;Форма банка (без печати работодателя);Покупка бытовой техники;1;0.59;мужской;1;0;среднее-специальное;менеджер высшего звена;< 50;0;20;39;Строительство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;1143522;Форма банка (без печати работодателя);Отпуск;1;0.42;женский;1;0;среднее-специальное;специалист;< 50;0;93;40;Торговля;Индивидуальный предприниматель;холост / не замужем;2;2;2;1;1;0;0;0;0;0;0.2222222222;2;7;66;9;2;1;8;57;0;0;0;0;0;0;0
2;1143542;Форма банка (без печати работодателя);Другое;0;0.42;мужской;1;0;среднее;менеджер среднего звена;>250;0;12;35;Другое;ООО;женат / замужем;5;0;0;0;0;0.1891891892;0;2;2;1;0.4;2;3;30;5;2;2;1;24;1;1;0;0;0;0;0
2;1143562;Форма банка (без печати работодателя);Покупка недвижимости/ строительство;1;0.32;женский;2;0;высшее;специалист;< 50;0;107;36;Торговля;ООО;женат / замужем;0;0;0;0;0;0.0505617978;0;0;0;0;0.6;4;1;169;5;2;0;18;44;1;0;0;0;0;0;0
2;1143582;Форма банка (без печати работодателя);Ремонт;1;0.54;мужской;0;0;высшее;специалист;>250;0;170;50;Наука;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;1143602;Форма банка (без печати работодателя);Ремонт;1;0.11;мужской;0;0;Высшее/Второе высшее/Ученая степень;специалист;>250;0;144;31;Наука;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;1143622;Форма банка (без печати работодателя);Ремонт;1;0.39;женский;0;0;высшее;менеджер среднего звена;< 50;0;12;51;Торговля;ООО;женат / замужем;6;3;3;1;1;0.0272108844;0;1;0;0;0.6666666667;4;2;143;6;3;0;4;95;1;0;0;0;0;0;0
2;1143642;2НДФЛ;Ремонт;1;0.4;женский;0;0;высшее;рабочий;>250;3;246;48;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;1143662;Форма банка (без печати работодателя);Покупка мебели;0;0.5;женский;0;0;среднее-специальное;менеджер среднего звена;>250;0;25;50;Государственная служба;;;;;;;;;;;;;;;;;;;;;;;;;;;;
